"pcis_permit","permit_type","permit_sub_type","initiating_office","issue_date","address_start","street_name","street_suffix","zip_code","work_description","valuation","of_residential_dwelling_units","of_stories","contractors_business_name","contractor_address","contractor_city","license","principal_first_name","principal_last_name","license_expiration_date","applicant_first_name","applicant_last_name","applicant_business_name","zone","council_district"
"22014-10000-05780","Bldg-Addition","1 or 2 Family Dwelling","METRO","2023-05-01T00:00:00.000","30","BEVERLY PARK","TER","90210","Addition and remodel to existing single family dwelling. Convert exist","1200000",,"3","VALLE/REINIS BUILDERS INC","11661 SAN VICENTE BLVD STE 302","LOS ANGELES","839178","BRIAN","VALLE","2023-07-31T00:00:00.000","CHRISTINE","BROWN",,"RE40-1-H","5"
"21010-10000-03854","Bldg-New","Apartment","METRO","2023-04-28T00:00:00.000","1441","3RD","ST","90017","New 8-story, 104-unit, 100% affordable housing apartment with 5 levels","9007000","104","8","UNITED BUILDING COMPANY INC","250 N. HARBOR DRIVE","REDONDO BEACH","1034972","MARK","WALTHER","2024-01-31T00:00:00.000","THIRD","THYME LP",,"CW","13"
"22016-20000-27466","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-04-28T00:00:00.000","20900","SHERMAN","WAY","91303","CHANGE OF USE FROM BANK/RETAIL/FURNITURE STORE TO VETERINARY CLINIC/RE","1100000",,,"TRANS-STATE CONSTRUCTION INC","5135 ZELZAH AVE #207","ENCINO","939104","MICHAEL","NOVIK","2023-07-31T00:00:00.000","JOHN",,,"[Q]C2-1VL-CDO-RIO","3"
"22010-10000-05587","Bldg-New","1 or 2 Family Dwelling","METRO","2023-04-28T00:00:00.000","1814","36TH","PL","90018","ePlan - (n) 3-story duplex 27'-8""x 110'-8"" R3 occupancy","1594210","2","3",,,,"1075573","ARCHIE","HE",,"Zepeng","Gao",,"R2-1-O","8"
"22010-20000-03334","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-04-28T00:00:00.000","5112","SHEARIN","AVE","90041","NEW 45'-7"" X 56'-8"" IRREGULAR SHAPED 2-STORY SFD W/ ATTACHED 2-CAR GAR","700000","1","2","OPUS BUILDERS INC","5244 VINELAND AVENUE","NORTH HOLLYWOOD","1059646","GARY","MKRTICHYAN","2023-10-31T00:00:00.000","SHARONE","YIFFI",,"R1-1","14"
"22010-10000-00634","Bldg-New","Commercial","METRO","2023-04-28T00:00:00.000","4011","HOOVER","ST","90037","New 5 Story  Type IIA, (& 1 story steel structure of solar panles over","10048000",,"6","KUNZIK & SARA CONSTRUCTION INC","1699 LA COSTA MEADOWS DR #102","SAN MARCOS","847939","TONY","SARA","2024-10-31T00:00:00.000","AHT ARCHITECTS","INC",,"(T)(Q)C2-2-CPIO","9"
"22016-10000-38891","Bldg-Alter/Repair","Commercial","METRO","2023-04-28T00:00:00.000","10940","WILSHIRE","BLVD","90024","ePlan  Tenant improvement - demolition, new partition, ceiling, finish","1000000",,,,,,"485187","TODD","LAYMAN",,"Samantha","Nowlin",,"[Q]C4-2-O","5"
"22016-10000-38509","Bldg-Alter/Repair","Commercial","METRO","2023-04-27T00:00:00.000","1750","VINE","ST","90028","ePlan: (N) TENANT IMRPOVEMENT TO (E) OFFICE AND STRUCTURAL ALTERATION","800000",,,,,,"751099","ANTHONY","RANGO",,"COLLIN","BAKER",,"C4-2D-SN","13"
"23016-20000-03080","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-04-27T00:00:00.000","21797","VENTURA","BLVD","91364","eplan: New Demising Partition, Ceiling and replace existing restrooms","700000",,,,,,"982577","MARK","BERGMAN",,"Julio","Gener",,"C4-1LD","3"
"20010-10000-02169","Bldg-New","Commercial","METRO","2023-04-27T00:00:00.000","425","TOWNE","AVE","90013","NEW 7 STORY, 175-UNIT 100% AFFORDABLE HOUSING APARTMENT TO INCLUDE 5 S","28557000","175","7","BENCHMARK CONTRACTORS INC","3330 OCEAN PARK BLVD","SANTA MONICA","462263","RON","ELAZAR","2024-08-31T00:00:00.000","GABRIEL","LORA",,"M2-2D","14"
"19014-10000-05312","Bldg-Addition","Commercial","METRO","2023-04-27T00:00:00.000","5843","PICO","BLVD","90019","PROPOSED ADDITION OF  5-STORY, 48 UNIT APARTMENTS OVER AN (E) SINGLE S","11000000","43","6","PRIMUS CONTRACTING GROUP INC","209 COMMERCE DRIVE SUITE 2","FORT COLLINS","814726","THOMAS","MOLIN","2024-11-30T00:00:00.000","SUZZI","GRIGORYAN",,"C4-1-O","10"
"22020-10000-02492","Nonbldg-New","Apartment","METRO","2023-04-27T00:00:00.000","425","TOWNE","AVE","90013","EPLAN  ""Shoring"" plan for a new 7 story, 175-unit, 100% affordable hou","725000",,,"MALCOLM DRILLING COMPANY INC","92 NATOMA STREET","SAN FRANCISCO","259543","JOHN","MALCOLM","2024-07-31T00:00:00.000","Terri","Dickerhoff",,"[T][Q]C2-4D","14"
"22016-10000-15458","Bldg-Alter/Repair","Commercial","METRO","2023-04-27T00:00:00.000","4562","ELECTRONICS","PL","90039","(ePlan) CONVERTING PORTION OF EXISTING 1ST FLOOR OFFICE TO TWO SOUND S","11000000",,,"KPRS CONSTRUCTION SERVICES INC","2850 SATURN STREET","BREA","751130","PAUL","BUSE","2024-06-30T00:00:00.000","Archibald","Cattarusa-Berna",,"M3-1-RIO","13"
"22010-20000-06308","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-04-26T00:00:00.000","22711","ERWIN","ST","91367","ePlan: (N) 2-STORY SINGLE FAMILY DWELLING WITH ATTACHED GARAGE","594183","1","2","FIRST CHOICE ROOFING INC",,,"1037649","AVITAL","LEVY",,"Dafna","Lahav",,"RA-1","3"
"20014-20001-00679","Bldg-Alter/Repair","Commercial","VAN NUYS","2023-04-26T00:00:00.000","130","ELMYRA","ST","90012","***REVISE TO LEGALIZE OFFICE ADDITIONS*** 2ND STORY  ADDITION, NEW CUR","645000",,"0","OWNER-BUILDER",,,"0",,,"2024-01-01T00:00:00.000","DANIEL","ZIESE",,"UI(CA)","1"
"18010-10000-04212","Bldg-New","Commercial","METRO","2023-04-26T00:00:00.000","2535","MANSFIELD","AVE","90016","New 78 Guest rooms hotel 4-story  V-A over one story I-A podium. One l","6360000",,"5","OWNER-BUILDER",,,"0",,,"2024-01-01T00:00:00.000","BRAD","LEEDS",,"C2-2D-CPIO","10"
"22010-20000-04461","Bldg-New","Commercial","VAN NUYS","2023-04-26T00:00:00.000","20005","RINALDI","ST","91326","EPLAN  ***PROPOSED CORE & SHELL  RESTAURANT FOR 3 TENANT SPACES ""S8 BU","780000",,"1",,,,"397892","MICHAEL","MOOREFIELD",,"Adam","Hurwitz",,"(T)C4-2D","12"
"22016-10000-39195","Bldg-Alter/Repair","Commercial","METRO","2023-04-26T00:00:00.000","10250","SANTA MONICA","BLVD","90067","T.I. FOR (E) RETAIL STORE,  NEW STORE FRONT AND ADD SOFFITS.MINOR INTE","775000",,,"E P I CONSTRUCTION INC","12345 VENTURA BLVD SUITE H","STUDIO CITY","865616","JOHN","RUTTER","2023-10-31T00:00:00.000","BRANDON","TOWNER",,"C2-1L-O","5"
"21016-10000-59345","Bldg-Alter/Repair","Commercial","METRO","2023-04-26T00:00:00.000","600","7TH","ST","90017","BUILD OUT OF EXISTING SUITE, TENANT IMPROVEMENT TO INCLUDE NEW INTERIO","14034531",,,"CLUNE CONSTRUCTION COMPANY L P","725 SOUTH FIGUEROA STREET","LOS ANGELES","732107","PETER","BAHRUTH","2025-02-28T00:00:00.000","VICTORIA","FIGUEROA",,"C2-4D","14"
"22020-10000-00918","Nonbldg-New","Commercial","METRO","2023-04-25T00:00:00.000","5420","SUNSET","AVE","90027","PROPOSE 2200 ' LONG WITH MAX. 30' TEMPORARY SHORING WITH LAGGING & SOL","2600000",,,"OWNER-BUILDER",,,"0",,,"2024-01-01T00:00:00.000","JASON","SHENG",,"C2-1","13"
"22016-10000-16988","Bldg-Alter/Repair","Commercial","METRO","2023-04-25T00:00:00.000","959","SEWARD","ST","90038","ePlan  Renovation of exterior courtyard within an existing office deve","2750000",,,,,,"705550","TODD","MIHM",,"Jennifer","Yakubik",,"(T)(Q)M1-1-SN","13"
"22010-30000-02606","Bldg-Addition","1 or 2 Family Dwelling","WEST LA","2023-04-24T00:00:00.000","901","ILIFF","ST","90272","MAJOR REMODEL AND ADDITION TO EXISTING 1-STORY TYPE VB DETACHED GARAGE","850000","1","2","T J C HOME BUILDERS LLC","26880 ALISO VIEJO PKWY STE 200","ALISO VIEJO","1025507","THOMAS","BEADEL","2023-04-30T00:00:00.000","CHANTILLY","BROWN",,"R1V1","11"
"19010-10000-06326","Bldg-New","1 or 2 Family Dwelling","METRO","2023-04-21T00:00:00.000","3119","ANDRITA","ST","90065","(N) two story duplex with roof deck at rear of lot.","570000","2","2","KGK CONSTRUCTION INC","609 S VALINDA AVENUE APT A","WEST COVINA","1092143","CHARLES","INSKEEP","2024-05-31T00:00:00.000","JAMES","WOODSON",,"RD2-1-CDO","13"
"22016-10000-37471","Bldg-Alter/Repair","Commercial","METRO","2023-04-21T00:00:00.000","601","FIGUEROA","ST","90017","EPLAN New non-rated corridor extensions of suite separation walls, inc","598130",,,,,,"372562","MICHAEL","TURI",,"Anna","Jenkins",,"C2-4D","14"
"22010-30000-01417","Bldg-New","Apartment","WEST LA","2023-04-20T00:00:00.000","12737","MITCHELL","AVE","90066","new 15 unit apartment, 5 story above 1 story podium building with park","3451572","15","6","OWNER-BUILDER",,,"0",,,,"CARLOS","REGIS",,"R3-1","11"
"22010-20000-05559","Bldg-New","1 or 2 Family Dwelling","VAN NUYS","2023-04-20T00:00:00.000","12207","VALLEYHEART","DR","91604","(N) 69' X 33'11"" TWO STORY SFD WITH ATTACHED TWO CAR  GARAGE, NFPA-13D","600000","1","2","OWNER-BUILDER",,,"0",,,,"GLORIA",,,"R1-1-RIO","4"
"22016-10000-38871","Bldg-Alter/Repair","Commercial","METRO","2023-04-20T00:00:00.000","761","BROADWAY",,"90014","ePlan  NEW RETAIL TENANT FIT-OUT AT GROUND FLOOR AND CELLAR. NEW PARTI","890000",,,"J T M CONSTRUCTION GROUP INC","44 WEST 28TH STREET 11TH FLOOR","NEW YORK","956584","DOUGLAS","CONSIGNY","2025-01-31T00:00:00.000","Brandon","Towner",,"[Q]C5-4D-CDO-SN","14"
"21010-10000-00966","Bldg-New","Commercial","METRO","2023-04-20T00:00:00.000","3045","CRENSHAW","BLVD","90016","NEW 6-STORY, 168-UNIT (17 ELI = 10%) MIXED-USE BLDG TO INCLUDE A 4-STO","32953254","168","6","OWNER-BUILDER",,,"0",,,"2024-01-01T00:00:00.000","AMIR",,"3045 CRENSHAW BLVD LLC","C2-1-SP","10"
